Scientific_Name,Common_Name,Phylum,Class,Family,Order,Location,Depth_Range,Habitat_Type,Commercial_Status,Conservation_Status,Max_Length,Max_Weight,Physical_Description,Feeding_Habits,Reproductive_Biology,Economic_Importance,Threats,Behavior_Ecology,Distribution,Data_Source,Last_Updated,Record_ID,Database,Region,Quality_Control,Georeference,Voucher_Specimen
Katsuwonus pelamis,Skipjack Tuna,Chordata,Actinopterygii,Scombridae,Perciformes,"Arabian Sea, Bay of Bengal",0-260m,Pelagic,Commercial,Least Concern,108 cm,34.5 kg,"Streamlined body, metallic blue-black dorsally, 4-6 dark bands","Carnivorous - small fish, squid","Year-round spawning, multiple spawning events","Major tuna fishery, canning industry","Overfishing, climate change","Highly migratory, schooling",Circumtropical,CMFRI,2025-09-20,1,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Thunnus albacares,Yellowfin Tuna,Chordata,Actinopterygii,Scombridae,Perciformes,Indian Ocean,0-250m,Pelagic,Commercial,Near Threatened,239 cm,200 kg,Large tuna with yellow fins and anal fin,"Piscivorous - fish, squid, crustaceans",Summer spawning peaks,"Premium sashimi, high commercial value",Longline fishing mortality,"Fast swimming, schooling behavior",Tropical oceans,IUCN,2025-09-20,2,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Hilsa ilisha,Hilsa Shad,Chordata,Actinopterygii,Clupeidae,Clupeiformes,"Bay of Bengal, rivers",0-200m,Anadromous,Commercial,Near Threatened,60 cm,2.5 kg,Compressed silver body with bluish tinge,"Planktivorous - phytoplankton, zooplankton",River breeding during monsoon,National fish of Bangladesh,"Dam construction, pollution",Anadromous migration,Bay of Bengal,CMFRI,2025-09-20,3,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Lates calcarifer,Barramundi,Chordata,Actinopterygii,Latidae,Perciformes,Indo-Pacific coastal,0-40m,Estuarine,Commercial,Least Concern,200 cm,60 kg,"Large predatory fish, silver with dark spots","Carnivorous - fish, crustaceans",Protandrous hermaphrodite,Major aquaculture species,Habitat degradation,"Euryhaline, territorial",Indo-Pacific,FAO,2025-09-20,4,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Chanos chanos,Milkfish,Chordata,Actinopterygii,Chanidae,Gonorynchiformes,Indo-Pacific,0-30m,Coastal,Commercial,Least Concern,180 cm,14 kg,Streamlined silvery fish with forked tail,"Omnivorous - algae, invertebrates",Coastal spawning,Major aquaculture species in Asia,Water pollution,"Schooling, fast swimming",Indo-Pacific,Aquaculture data,2025-09-20,5,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Epinephelus malabaricus,Malabar Grouper,Chordata,Actinopterygii,Serranidae,Perciformes,Indo-Pacific reefs,5-150m,Reef-associated,Commercial,Not Assessed,234 cm,150 kg,Large grouper with mottled brown coloration,"Carnivorous - fish, crustaceans",Protogynous hermaphrodite,High-value food fish,"Overfishing, habitat loss","Territorial, ambush predator",Indo-Pacific,FishBase,2025-09-20,6,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Lutjanus campechanus,Red Snapper,Chordata,Actinopterygii,Lutjanidae,Perciformes,Continental shelf,10-190m,Demersal,Commercial,Vulnerable,100 cm,22.8 kg,Red coloration with silver sides,"Carnivorous - fish, crustaceans, worms",Summer spawning aggregations,Premium food fish,Overfishing,"Bottom-dwelling, schooling",Western Atlantic,NOAA,2025-09-20,7,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Scomberomorus commerson,Spanish Mackerel,Chordata,Actinopterygii,Scombridae,Perciformes,Indo-Pacific,15-200m,Pelagic,Commercial,Least Concern,240 cm,70 kg,Large mackerel with spots and bars,"Carnivorous - fish, squid, prawns",Winter spawning peak,Important commercial species,Fishing pressure,"Fast predator, coastal waters",Indo-Pacific,FAO,2025-09-20,8,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Rastrelliger kanagurta,Indian Mackerel,Chordata,Actinopterygii,Scombridae,Perciformes,Indo-West Pacific,20-90m,Coastal pelagic,Commercial,Least Concern,35 cm,0.34 kg,Small mackerel with wavy lines on back,"Planktivorous - zooplankton, small fish",Multiple spawning seasons,Major fishery in India,Overfishing,"Schooling, coastal migration",Indo-Pacific,CMFRI,2025-09-20,9,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Sardinella longiceps,Indian Oil Sardine,Chordata,Actinopterygii,Clupeidae,Clupeiformes,Western Indian Ocean,5-40m,Coastal pelagic,Commercial,Least Concern,23 cm,0.15 kg,Small silvery fish with single dorsal fin,Planktivorous - phytoplankton,Monsoon season spawning,Major fishery in India,Climate variability,Dense schooling behavior,Indian Ocean,CMFRI,2025-09-20,10,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Rhincodon typus,Whale Shark,Chordata,Elasmobranchii,Rhincodontidae,Orectolobiformes,Tropical oceans,0-1928m,Pelagic,Protected,Endangered,1200 cm,21500 kg,"Largest fish, white spots on dark skin",Filter feeder - plankton,Ovoviviparous,"Ecotourism, conservation flagship","Ship strikes, fishing","Migratory, solitary",Circumtropical,IUCN,2025-09-20,11,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
